;Tabela 1: Liczba hospitalizacji i liczba punktów za hospitalizacje wg rozpoznań i sekcji produktów
;Rozdział ICD10;Województwo;Poziom szpitala w ramach ryczałtu PSZ;Sekcja JGP;Maj 2021;;Kwiecień 2021;;Maj 2020;;Maj 2021 / Kwiecień 2021;;Maj 2021 / Maj 2020
;L00-L99 Choroby skóry i tkanki podskórnej;Wielkopolskie;SZPITAL OGÓLNOPOLSKI;P Choroby dzieci - leczenie zachowawcze;21;34360.8548;28;40975.902;11;16022.2;-0.25;-0.161438;0.909091;1.144578
;L00-L99 Choroby skóry i tkanki podskórnej;Wielkopolskie;SZPITAL OGÓLNOPOLSKI;PZ Choroby dzieci - leczenie zabiegowe;5;13920.35328;< 5;2562.94368;< 5;9546; ;4.431393; ;0.458239
;L00-L99 Choroby skóry i tkanki podskórnej;Wielkopolskie;SZPITAL ONKOLOGICZNY;J Choroby piersi, skóry i oparzenia;;;;;< 5;708;;; ;
;L00-L99 Choroby skóry i tkanki podskórnej;Wielkopolskie;SZPITAL PEDIATRYCZNY;H Choroby układu mięśniowo-szkieletowego;< 5;4521.2;;;;; ;; ;
;L00-L99 Choroby skóry i tkanki podskórnej;Wielkopolskie;SZPITAL PEDIATRYCZNY;J Choroby piersi, skóry i oparzenia;< 5;2354.72;;;< 5;3899; ;; ;-0.396071
;L00-L99 Choroby skóry i tkanki podskórnej;Wielkopolskie;SZPITAL PEDIATRYCZNY;P Choroby dzieci - leczenie zachowawcze;18;51809.2;13;24941.84;10;25904;0.384615;1.0772;0.8;1.000046
;L00-L99 Choroby skóry i tkanki podskórnej;Wielkopolskie;SZPITAL PEDIATRYCZNY;PZ Choroby dzieci - leczenie zabiegowe;9;17977.464;< 5;6593.616;< 5;4490; ;1.726495; ;3.00389
;L00-L99 Choroby skóry i tkanki podskórnej;Wielkopolskie;SZPITAL PEDIATRYCZNY;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;< 5;11046.56;< 5;3227.04;;; ;2.423125; ;
;L00-L99 Choroby skóry i tkanki podskórnej;Zachodniopomorskie;SZPITAL I STOPNIA;F Choroby przewodu pokarmowego;7;12139.224;5;8633.16;< 5;5712.174;0.4;0.406116; ;1.12515
;L00-L99 Choroby skóry i tkanki podskórnej;Zachodniopomorskie;SZPITAL I STOPNIA;H Choroby układu mięśniowo-szkieletowego;18;61788.948;16;61033.1;20;73061.608;0.125;0.012384;-0.1;-0.15429
;L00-L99 Choroby skóry i tkanki podskórnej;Zachodniopomorskie;SZPITAL I STOPNIA;J Choroby piersi, skóry i oparzenia;20;76952.268;28;133699.536;18;74346.43;-0.285714;-0.424439;0.111111;0.03505
;L00-L99 Choroby skóry i tkanki podskórnej;Zachodniopomorskie;SZPITAL I STOPNIA;P Choroby dzieci - leczenie zachowawcze;7;18114.84;< 5;7430.4;8;18751.09; ;1.437936;-0.125;-0.033931
;L00-L99 Choroby skóry i tkanki podskórnej;Zachodniopomorskie;SZPITAL I STOPNIA;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;< 5;3308.04;;;;; ;; ;
;L00-L99 Choroby skóry i tkanki podskórnej;Zachodniopomorskie;SZPITAL II STOPNIA;F Choroby przewodu pokarmowego;< 5;3376.632;< 5;3511.69728;;; ;-0.038462; ;
;L00-L99 Choroby skóry i tkanki podskórnej;Zachodniopomorskie;SZPITAL II STOPNIA;H Choroby układu mięśniowo-szkieletowego;9;15212.62;6;9419.9872;5;13426.26;0.5;0.61493;0.8;0.13305
;L00-L99 Choroby skóry i tkanki podskórnej;Zachodniopomorskie;SZPITAL II STOPNIA;J Choroby piersi, skóry i oparzenia;8;119596.322;9;59104.392;8;36103.716;-0.111111;1.023476;0;2.312577
;L00-L99 Choroby skóry i tkanki podskórnej;Zachodniopomorskie;SZPITAL II STOPNIA;P Choroby dzieci - leczenie zachowawcze;< 5;9854.2872;< 5;5324.1948;;; ;0.85085; ;
;L00-L99 Choroby skóry i tkanki podskórnej;Zachodniopomorskie;SZPITAL III STOPNIA;F Choroby przewodu pokarmowego;;;< 5;1393;;; ;;;
;L00-L99 Choroby skóry i tkanki podskórnej;Zachodniopomorskie;SZPITAL III STOPNIA;H Choroby układu mięśniowo-szkieletowego;< 5;4650;< 5;2697;< 5;5394; ;0.724138; ;-0.137931
;L00-L99 Choroby skóry i tkanki podskórnej;Zachodniopomorskie;SZPITAL III STOPNIA;J Choroby piersi, skóry i oparzenia;6;30760;< 5;12630;< 5;975; ;1.435471; ;30.548718
;L00-L99 Choroby skóry i tkanki podskórnej;Zachodniopomorskie;SZPITAL III STOPNIA;P Choroby dzieci - leczenie zachowawcze;< 5;3669.7374;< 5;7834.266;;; ;-0.531579; ;
;L00-L99 Choroby skóry i tkanki podskórnej;Zachodniopomorskie;SZPITAL III STOPNIA;PZ Choroby dzieci - leczenie zabiegowe;< 5;2170.8;;;;; ;; ;
;L00-L99 Choroby skóry i tkanki podskórnej;Zachodniopomorskie;SZPITAL OGÓLNOPOLSKI;F Choroby przewodu pokarmowego;< 5;4710;;;< 5;4179; ;; ;0.127064
;L00-L99 Choroby skóry i tkanki podskórnej;Zachodniopomorskie;SZPITAL OGÓLNOPOLSKI;H Choroby układu mięśniowo-szkieletowego;10;19077;12;38501.84;21;61728;-0.166667;-0.504517;-0.52381;-0.690951
;L00-L99 Choroby skóry i tkanki podskórnej;Zachodniopomorskie;SZPITAL OGÓLNOPOLSKI;J Choroby piersi, skóry i oparzenia;60;166368.7784;70;202154.0352;48;138656.6;-0.142857;-0.17702;0.25;0.199862
;L00-L99 Choroby skóry i tkanki podskórnej;Zachodniopomorskie;SZPITAL OGÓLNOPOLSKI;K Choroby układu dokrewnego;;;< 5;9439;;; ;;;
;L00-L99 Choroby skóry i tkanki podskórnej;Zachodniopomorskie;SZPITAL OGÓLNOPOLSKI;P Choroby dzieci - leczenie zachowawcze;5;11729.4912;7;18724.8672;;;-0.285714;-0.373587;;
;L00-L99 Choroby skóry i tkanki podskórnej;Zachodniopomorskie;SZPITAL OGÓLNOPOLSKI;PZ Choroby dzieci - leczenie zabiegowe;;;< 5;4791.51936;;; ;;;
;L00-L99 Choroby skóry i tkanki podskórnej;Zachodniopomorskie;SZPITAL OGÓLNOPOLSKI;Q Choroby naczyń;< 5;2393.7768;;;;; ;; ;
;L00-L99 Choroby skóry i tkanki podskórnej;Zachodniopomorskie;SZPITAL PEDIATRYCZNY;H Choroby układu mięśniowo-szkieletowego;;;< 5;4357.881;;; ;;;
;L00-L99 Choroby skóry i tkanki podskórnej;Zachodniopomorskie;SZPITAL PEDIATRYCZNY;J Choroby piersi, skóry i oparzenia;< 5;6818.4828;;;< 5;4613; ;; ;0.478102
;L00-L99 Choroby skóry i tkanki podskórnej;Zachodniopomorskie;SZPITAL PEDIATRYCZNY;P Choroby dzieci - leczenie zachowawcze;19;48367.5948;15;36602.9442;10;23913;0.266667;0.321413;0.9;1.022649
;L00-L99 Choroby skóry i tkanki podskórnej;Zachodniopomorskie;SZPITAL PEDIATRYCZNY;PZ Choroby dzieci - leczenie zabiegowe;< 5;2170.8;;;< 5;5300; ;; ;-0.590415
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Dolnośląskie;POZA PSZ;H Choroby układu mięśniowo-szkieletowego;177;596115.83;172;542602.83;186;479966.33;0.02907;0.098623;-0.048387;0.241995
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Dolnośląskie;SZPITAL I STOPNIA;A Choroby układu nerwowego;89;308985.54;48;189783.24;50;90479.32;0.854167;0.628097;0.78;2.414985
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Dolnośląskie;SZPITAL I STOPNIA;C Choroby twarzy, jamy ustnej, gardła, krtani, nosa i uszu;< 5;217;;;;; ;; ;
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Dolnośląskie;SZPITAL I STOPNIA;D Choroby układu oddechowego;< 5;6138.72;< 5;9136.8;;; ;-0.328132; ;
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Dolnośląskie;SZPITAL I STOPNIA;F Choroby przewodu pokarmowego;< 5;1324.98;;;;; ;; ;
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Dolnośląskie;SZPITAL I STOPNIA;H Choroby układu mięśniowo-szkieletowego;498;2437883.708;415;2175905.8672;194;1030085.978;0.2;0.120399;1.56701;1.36668
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Dolnośląskie;SZPITAL I STOPNIA;J Choroby piersi, skóry i oparzenia;;;;;< 5;3636.93;;; ;
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Dolnośląskie;SZPITAL I STOPNIA;P Choroby dzieci - leczenie zachowawcze;12;30591;14;36072;22;79182.074;-0.142857;-0.151946;-0.454545;-0.613663
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Dolnośląskie;SZPITAL II STOPNIA;A Choroby układu nerwowego;23;93053.32;23;76958.97;18;38248.98;0;0.209129;0.277778;1.432831
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Dolnośląskie;SZPITAL II STOPNIA;H Choroby układu mięśniowo-szkieletowego;473;3635155.6512;414;3266282.058;387;2668277.648;0.142512;0.112934;0.222222;0.36236
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Dolnośląskie;SZPITAL II STOPNIA;P Choroby dzieci - leczenie zachowawcze;< 5;1075.1616;< 5;3563.676;< 5;4467.6; ;-0.6983; ;-0.759342
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Dolnośląskie;SZPITAL II STOPNIA;PZ Choroby dzieci - leczenie zabiegowe;;;;;< 5;6674.778;;; ;
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Dolnośląskie;SZPITAL III STOPNIA;A Choroby układu nerwowego;42;396952;50;479893;42;353222;-0.16;-0.172832;0;0.123803
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Dolnośląskie;SZPITAL III STOPNIA;C Choroby twarzy, jamy ustnej, gardła, krtani, nosa i uszu;< 5;3008;< 5;19449.49;;; ;-0.845343; ;
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Dolnośląskie;SZPITAL III STOPNIA;D Choroby układu oddechowego;5;25242;5;28045;;;0;-0.099947;;
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Dolnośląskie;SZPITAL III STOPNIA;H Choroby układu mięśniowo-szkieletowego;260;1841020.0204;218;1570773.0976;128;755358.24;0.192661;0.172047;1.03125;1.437281
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Dolnośląskie;SZPITAL III STOPNIA;J Choroby piersi, skóry i oparzenia;< 5;3531;< 5;6377;;; ;-0.446291; ;
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Dolnośląskie;SZPITAL III STOPNIA;P Choroby dzieci - leczenie zachowawcze;< 5;13270.824;< 5;47241.576;< 5;3070; ;-0.719086; ;3.322744
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Dolnośląskie;SZPITAL III STOPNIA;PZ Choroby dzieci - leczenie zabiegowe;8;30697.596;< 5;17943.012;< 5;20433.7; ;0.710839; ;0.502302
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Dolnośląskie;SZPITAL OGÓLNOPOLSKI;A Choroby układu nerwowego;38;413844.32;41;351011;49;445134;-0.073171;0.179007;-0.22449;-0.070293
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Dolnośląskie;SZPITAL OGÓLNOPOLSKI;C Choroby twarzy, jamy ustnej, gardła, krtani, nosa i uszu;6;96940.98;9;163692.92;< 5;52232.98;-0.333333;-0.407788; ;0.855934
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Dolnośląskie;SZPITAL OGÓLNOPOLSKI;D Choroby układu oddechowego;8;33660;10;47723;7;31560;-0.2;-0.29468;0.142857;0.06654
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Dolnośląskie;SZPITAL OGÓLNOPOLSKI;H Choroby układu mięśniowo-szkieletowego;263;1922830.8216;177;1158754.2008;191;1510646.65;0.485876;0.659395;0.376963;0.272853
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Dolnośląskie;SZPITAL OGÓLNOPOLSKI;J Choroby piersi, skóry i oparzenia;< 5;10462;;;< 5;3531; ;; ;1.9629
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Dolnośląskie;SZPITAL OGÓLNOPOLSKI;K Choroby układu dokrewnego;;;;;< 5;2952;;; ;
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Dolnośląskie;SZPITAL OGÓLNOPOLSKI;L Choroby układu moczowo-płciowego;;;;;19;44662;;;;
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Dolnośląskie;SZPITAL OGÓLNOPOLSKI;P Choroby dzieci - leczenie zachowawcze;;;< 5;3078;< 5;9742; ;; ;
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Dolnośląskie;SZPITAL OGÓLNOPOLSKI;PZ Choroby dzieci - leczenie zabiegowe;7;206190.6084;8;140714.8416;12;103985.14;-0.125;0.465308;-0.416667;0.982885
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Dolnośląskie;SZPITAL OGÓLNOPOLSKI;Q Choroby naczyń;;;< 5;8784.6;;; ;;;
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Dolnośląskie;SZPITAL ONKOLOGICZNY;H Choroby układu mięśniowo-szkieletowego;< 5;3542;< 5;3542;;; ;0; ;
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Dolnośląskie;SZPITAL PULMONOLOGICZNY;D Choroby układu oddechowego;< 5;12044;;;< 5;5609; ;; ;1.147263
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Dolnośląskie;SZPITAL PULMONOLOGICZNY;H Choroby układu mięśniowo-szkieletowego;;;;;< 5;4015;;; ;
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Kujawsko-pomorskie;POZA PSZ;A Choroby układu nerwowego;< 5;32098.4;6;56802.2;9;100766.4; ;-0.434909; ;-0.681457
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Kujawsko-pomorskie;POZA PSZ;C Choroby twarzy, jamy ustnej, gardła, krtani, nosa i uszu;< 5;2557;< 5;1399.5;;; ;0.827081; ;
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Kujawsko-pomorskie;POZA PSZ;H Choroby układu mięśniowo-szkieletowego;54;191831.12;69;280957.8;67;303468.26;-0.217391;-0.317224;-0.19403;-0.367871
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Kujawsko-pomorskie;SZPITAL I STOPNIA;A Choroby układu nerwowego;18;74017.32;11;73582.92;24;72905.46;0.636364;0.005904;-0.25;0.015251
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Kujawsko-pomorskie;SZPITAL I STOPNIA;H Choroby układu mięśniowo-szkieletowego;252;1832061.112;196;1269511.4;221;1655114.684;0.285714;0.443123;0.140271;0.106909
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Kujawsko-pomorskie;SZPITAL I STOPNIA;P Choroby dzieci - leczenie zachowawcze;< 5;1054.08;< 5;4730.4;< 5;4954.3; ;-0.777169; ;-0.787239
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Kujawsko-pomorskie;SZPITAL II STOPNIA;A Choroby układu nerwowego;9;56665.81;7;30428.27;16;80872.74;0.285714;0.862275;-0.4375;-0.299321
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Kujawsko-pomorskie;SZPITAL II STOPNIA;C Choroby twarzy, jamy ustnej, gardła, krtani, nosa i uszu;< 5;19071.83;;;;; ;; ;
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Kujawsko-pomorskie;SZPITAL II STOPNIA;H Choroby układu mięśniowo-szkieletowego;153;1565010.716;153;1569037.3266;114;1420381.056;0;-0.002566;0.342105;0.101825
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Kujawsko-pomorskie;SZPITAL II STOPNIA;P Choroby dzieci - leczenie zachowawcze;< 5;2230.362;;;;; ;; ;
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Kujawsko-pomorskie;SZPITAL III STOPNIA;A Choroby układu nerwowego;35;386104;41;467013.28;40;327337;-0.146341;-0.173248;-0.125;0.179531
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Kujawsko-pomorskie;SZPITAL III STOPNIA;C Choroby twarzy, jamy ustnej, gardła, krtani, nosa i uszu;;;< 5;2800;< 5;8801; ;; ;
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Kujawsko-pomorskie;SZPITAL III STOPNIA;D Choroby układu oddechowego;;;< 5;6093.36;< 5;16827; ;; ;
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Kujawsko-pomorskie;SZPITAL III STOPNIA;H Choroby układu mięśniowo-szkieletowego;196;1857307.2138;139;1150801.2418;145;1317208.06;0.410072;0.613925;0.351724;0.410033
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Kujawsko-pomorskie;SZPITAL III STOPNIA;P Choroby dzieci - leczenie zachowawcze;< 5;8877.6;< 5;2594.106;< 5;3351; ;2.422219; ;1.649239
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Kujawsko-pomorskie;SZPITAL III STOPNIA;PZ Choroby dzieci - leczenie zabiegowe;< 5;3012.12;< 5;2408.4;;; ;0.250673; ;
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Kujawsko-pomorskie;SZPITAL OGÓLNOPOLSKI;A Choroby układu nerwowego;46;448200;64;516819;24;236252;-0.28125;-0.132772;0.916667;0.897127
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Kujawsko-pomorskie;SZPITAL OGÓLNOPOLSKI;C Choroby twarzy, jamy ustnej, gardła, krtani, nosa i uszu;< 5;4652;7;26429;< 5;25699; ;-0.823981; ;-0.818981
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Kujawsko-pomorskie;SZPITAL OGÓLNOPOLSKI;D Choroby układu oddechowego;9;44875;10;53287;11;56093;-0.1;-0.157862;-0.181818;-0.199989
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Kujawsko-pomorskie;SZPITAL OGÓLNOPOLSKI;H Choroby układu mięśniowo-szkieletowego;313;2301085.586;302;2170672.332;163;1539349.12;0.036424;0.06008;0.920245;0.494843
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Kujawsko-pomorskie;SZPITAL OGÓLNOPOLSKI;P Choroby dzieci - leczenie zachowawcze;< 5;2181.6;< 5;2581.2;;; ;-0.154812; ;
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Kujawsko-pomorskie;SZPITAL OGÓLNOPOLSKI;PZ Choroby dzieci - leczenie zabiegowe;;;< 5;5920.56;;; ;;;
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Kujawsko-pomorskie;SZPITAL PEDIATRYCZNY;D Choroby układu oddechowego;< 5;44340.6852;< 5;12261.24;< 5;5684; ;2.61633; ;6.800965
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Kujawsko-pomorskie;SZPITAL PEDIATRYCZNY;H Choroby układu mięśniowo-szkieletowego;27;103285.08;30;122536.8;17;77596;-0.1;-0.15711;0.588235;0.331062
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Kujawsko-pomorskie;SZPITAL PEDIATRYCZNY;P Choroby dzieci - leczenie zachowawcze;10;39798;26;113463.48;5;12645;-0.615385;-0.649244;1;2.147331
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Kujawsko-pomorskie;SZPITAL PEDIATRYCZNY;PZ Choroby dzieci - leczenie zabiegowe;< 5;7153.92;;;;; ;; ;
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Lubelskie;POZA PSZ;A Choroby układu nerwowego;< 5;1848.3;< 5;1848.3;< 5;916; ;0; ;1.017795
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Lubelskie;POZA PSZ;D Choroby układu oddechowego;< 5;6391.818;;;;; ;; ;
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Lubelskie;POZA PSZ;H Choroby układu mięśniowo-szkieletowego;75;375336.753;66;306243.288;21;74256.38;0.136364;0.225616;2.571429;4.054606
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Lubelskie;SZPITAL I STOPNIA;A Choroby układu nerwowego;65;121958.84;54;98395.28;63;121829.84;0.203704;0.239479;0.031746;0.001059
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Lubelskie;SZPITAL I STOPNIA;H Choroby układu mięśniowo-szkieletowego;467;2665274.89;417;2253005.0768;128;596708.126;0.119904;0.182987;2.648438;3.466631
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Lubelskie;SZPITAL I STOPNIA;J Choroby piersi, skóry i oparzenia;< 5;43270.848;;;;; ;; ;
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Lubelskie;SZPITAL I STOPNIA;P Choroby dzieci - leczenie zachowawcze;< 5;3667.68;< 5;5275.8;;; ;-0.304811; ;
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Lubelskie;SZPITAL II STOPNIA;A Choroby układu nerwowego;10;18483;11;20331.3;17;31732.2;-0.090909;-0.090909;-0.411765;-0.417532
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Lubelskie;SZPITAL II STOPNIA;C Choroby twarzy, jamy ustnej, gardła, krtani, nosa i uszu;;;< 5;8889.01;;; ;;;
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Lubelskie;SZPITAL II STOPNIA;H Choroby układu mięśniowo-szkieletowego;92;719235.734;83;640106.184;14;49053.84;0.108434;0.123619;5.571429;13.66217
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Lubelskie;SZPITAL III STOPNIA;A Choroby układu nerwowego;28;177281;20;183825;10;81852;0.4;-0.035599;1.8;1.165873
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Lubelskie;SZPITAL III STOPNIA;H Choroby układu mięśniowo-szkieletowego;84;884350.43;68;729984.285;23;134188.51;0.235294;0.211465;2.652174;5.590359
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Lubelskie;SZPITAL III STOPNIA;P Choroby dzieci - leczenie zachowawcze;< 5;4455.675;;;< 5;2005; ;; ;1.222282
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Lubelskie;SZPITAL OGÓLNOPOLSKI;A Choroby układu nerwowego;105;1016701.04;100;1029922.92;27;250187.6;0.05;-0.012838;2.888889;3.063755
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Lubelskie;SZPITAL OGÓLNOPOLSKI;C Choroby twarzy, jamy ustnej, gardła, krtani, nosa i uszu;< 5;9467;< 5;8801;;; ;0.075673; ;
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Lubelskie;SZPITAL OGÓLNOPOLSKI;D Choroby układu oddechowego;10;40458.96;8;30857;9;68688.62;0.25;0.311176;0.111111;-0.41098
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Lubelskie;SZPITAL OGÓLNOPOLSKI;E Choroby układu krążenia;;;;;< 5;22628;;; ;
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Lubelskie;SZPITAL OGÓLNOPOLSKI;H Choroby układu mięśniowo-szkieletowego;397;3226206.442652;389;3726932.345276;130;1304520.1726;0.020566;-0.134353;2.053846;1.473098
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Lubelskie;SZPITAL OGÓLNOPOLSKI;J Choroby piersi, skóry i oparzenia;;;;;< 5;24330;;; ;
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Lubelskie;SZPITAL OGÓLNOPOLSKI;P Choroby dzieci - leczenie zachowawcze;80;192525.12;72;181933.56;37;84143;0.111111;0.058217;1.162162;1.288071
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Lubelskie;SZPITAL OGÓLNOPOLSKI;PZ Choroby dzieci - leczenie zabiegowe;47;665289.7416;38;459976.59;27;283015.12;0.236842;0.446356;0.740741;1.350722
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Lubelskie;SZPITAL OGÓLNOPOLSKI;Q Choroby naczyń;;;;;< 5;90107.34;;; ;
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Lubelskie;SZPITAL ONKOLOGICZNY;D Choroby układu oddechowego;< 5;5609;< 5;11218;;; ;-0.5; ;
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Lubelskie;SZPITAL ONKOLOGICZNY;H Choroby układu mięśniowo-szkieletowego;41;176978;46;276146.05;< 5;40360.6;-0.108696;-0.359114; ;3.38492
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Lubuskie;POZA PSZ;H Choroby układu mięśniowo-szkieletowego;24;83072.7;11;36806.4;22;69791.4;1.181818;1.257018;0.090909;0.1903
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Lubuskie;SZPITAL I STOPNIA;A Choroby układu nerwowego;;;5;8364.12;6;9371.66;;;;
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Lubuskie;SZPITAL I STOPNIA;H Choroby układu mięśniowo-szkieletowego;67;240760.492;22;65530.882;74;465707.124;2.045455;2.674;-0.094595;-0.483022
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Lubuskie;SZPITAL I STOPNIA;P Choroby dzieci - leczenie zachowawcze;< 5;10272.825;< 5;7695;;; ;0.335; ;
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Lubuskie;SZPITAL II STOPNIA;A Choroby układu nerwowego;;;< 5;925.16;;; ;;;
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Lubuskie;SZPITAL II STOPNIA;F Choroby przewodu pokarmowego;< 5;1688.316;;;;; ;; ;
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Lubuskie;SZPITAL II STOPNIA;H Choroby układu mięśniowo-szkieletowego;133;1728948.992;104;1184375.294;106;1333594.488;0.278846;0.459798;0.254717;0.296458
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Lubuskie;SZPITAL II STOPNIA;P Choroby dzieci - leczenie zachowawcze;;;< 5;6762.042;;; ;;;
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Lubuskie;SZPITAL III STOPNIA;A Choroby układu nerwowego;39;366118;40;357098;44;362640;-0.025;0.025259;-0.113636;0.009591
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Lubuskie;SZPITAL III STOPNIA;D Choroby układu oddechowego;< 5;11218;;;;; ;; ;
