;Tabela 1: Liczba hospitalizacji i liczba punktów za hospitalizacje wg rozpoznań i sekcji produktów
;Rozdział ICD10;Województwo;Poziom szpitala w ramach ryczałtu PSZ;Sekcja JGP;Czerwiec 2021;;Maj 2021;;Czerwiec 2020;;Czerwiec 2021 / Maj 2021;;Czerwiec 2021 / Czerwiec 2020
;K00-K93 Choroby układu pokarmowego;Świętokrzyskie;SZPITAL ONKOLOGICZNY;F Choroby przewodu pokarmowego;7;22715;5;11946;6;24701;0.4;0.901473;0.166667;-0.080402
;K00-K93 Choroby układu pokarmowego;Świętokrzyskie;SZPITAL ONKOLOGICZNY;G Choroby wątroby, dróg żółciowych, trzustki i śledziony;< 5;3425;< 5;3955;< 5;7321; ;-0.134008; ;-0.532168
;K00-K93 Choroby układu pokarmowego;Świętokrzyskie;SZPITAL PULMONOLOGICZNY;F Choroby przewodu pokarmowego;74;187784;60;181253.33;77;169322;0.233333;0.036031;-0.038961;0.109035
;K00-K93 Choroby układu pokarmowego;Świętokrzyskie;SZPITAL PULMONOLOGICZNY;G Choroby wątroby, dróg żółciowych, trzustki i śledziony;37;136702;40;186828.15;33;149481.15;-0.075;-0.268301;0.121212;-0.08549
;K00-K93 Choroby układu pokarmowego;Warmińsko-mazurskie;POZA PSZ;C Choroby twarzy, jamy ustnej, gardła, krtani, nosa i uszu;12;20183.04;12;15820.8;22;21734.4;0;0.275728;-0.454545;-0.071378
;K00-K93 Choroby układu pokarmowego;Warmińsko-mazurskie;POZA PSZ;F Choroby przewodu pokarmowego;38;66467.62;50;99100.8;19;42848.28;-0.24;-0.329293;1;0.551232
;K00-K93 Choroby układu pokarmowego;Warmińsko-mazurskie;POZA PSZ;G Choroby wątroby, dróg żółciowych, trzustki i śledziony;15;45904.48;31;98641.56;14;49291.44;-0.516129;-0.534633;0.071429;-0.068713
;K00-K93 Choroby układu pokarmowego;Warmińsko-mazurskie;SZPITAL I STOPNIA;C Choroby twarzy, jamy ustnej, gardła, krtani, nosa i uszu;< 5;1516.32;< 5;2967.84;;; ;-0.489083; ;
;K00-K93 Choroby układu pokarmowego;Warmińsko-mazurskie;SZPITAL I STOPNIA;D Choroby układu oddechowego;;;;;< 5;7906.28;;; ;
;K00-K93 Choroby układu pokarmowego;Warmińsko-mazurskie;SZPITAL I STOPNIA;F Choroby przewodu pokarmowego;427;1527842.7582;304;1238999.7316;457;1471658.49;0.404605;0.233126;-0.065646;0.038178
;K00-K93 Choroby układu pokarmowego;Warmińsko-mazurskie;SZPITAL I STOPNIA;G Choroby wątroby, dróg żółciowych, trzustki i śledziony;270;1241784.1848;218;1004888.962;269;1286004.0339;0.238532;0.235743;0.003717;-0.034385
;K00-K93 Choroby układu pokarmowego;Warmińsko-mazurskie;SZPITAL I STOPNIA;J Choroby piersi, skóry i oparzenia;< 5;7516.38;;;;; ;; ;
;K00-K93 Choroby układu pokarmowego;Warmińsko-mazurskie;SZPITAL I STOPNIA;P Choroby dzieci - leczenie zachowawcze;54;130657.16;35;75595.68;21;46599.16;0.542857;0.728368;1.571429;1.803852
;K00-K93 Choroby układu pokarmowego;Warmińsko-mazurskie;SZPITAL II STOPNIA;C Choroby twarzy, jamy ustnej, gardła, krtani, nosa i uszu;13;161259.77;14;179313.38;< 5;28237.68;-0.071429;-0.100682; ;4.710801
;K00-K93 Choroby układu pokarmowego;Warmińsko-mazurskie;SZPITAL II STOPNIA;D Choroby układu oddechowego;;;< 5;40513.5442;< 5;31526.16; ;; ;
;K00-K93 Choroby układu pokarmowego;Warmińsko-mazurskie;SZPITAL II STOPNIA;F Choroby przewodu pokarmowego;141;430107.586;78;245036.706;130;586283.4232;0.807692;0.755278;0.084615;-0.266383
;K00-K93 Choroby układu pokarmowego;Warmińsko-mazurskie;SZPITAL II STOPNIA;G Choroby wątroby, dróg żółciowych, trzustki i śledziony;89;442664.4059;54;189007.524;96;942134.7864;0.648148;1.342046;-0.072917;-0.530147
;K00-K93 Choroby układu pokarmowego;Warmińsko-mazurskie;SZPITAL II STOPNIA;P Choroby dzieci - leczenie zachowawcze;11;31044.6;13;31322.16;5;12147.18;-0.153846;-0.008861;1.2;1.555704
;K00-K93 Choroby układu pokarmowego;Warmińsko-mazurskie;SZPITAL II STOPNIA;PZ Choroby dzieci - leczenie zabiegowe;5;19099.044;5;28208.088;7;27157.194;0;-0.322923;-0.285714;-0.296722
;K00-K93 Choroby układu pokarmowego;Warmińsko-mazurskie;SZPITAL III STOPNIA;C Choroby twarzy, jamy ustnej, gardła, krtani, nosa i uszu;11;129107.32;7;36788.08;7;30998;0.571429;2.509488;0.571429;3.165021
;K00-K93 Choroby układu pokarmowego;Warmińsko-mazurskie;SZPITAL III STOPNIA;F Choroby przewodu pokarmowego;126;590723.13;128;519746.14;131;643835.01;-0.015625;0.136561;-0.038168;-0.082493
;K00-K93 Choroby układu pokarmowego;Warmińsko-mazurskie;SZPITAL III STOPNIA;G Choroby wątroby, dróg żółciowych, trzustki i śledziony;85;653383.73;91;401654.56;60;248031;-0.065934;0.626731;0.416667;1.634283
;K00-K93 Choroby układu pokarmowego;Warmińsko-mazurskie;SZPITAL III STOPNIA;P Choroby dzieci - leczenie zachowawcze;24;72307.08;25;68598.36;10;25904;-0.04;0.054064;1.4;1.791348
;K00-K93 Choroby układu pokarmowego;Warmińsko-mazurskie;SZPITAL III STOPNIA;Q Choroby naczyń;< 5;9724;< 5;23646.2;;; ;-0.588771; ;
;K00-K93 Choroby układu pokarmowego;Warmińsko-mazurskie;SZPITAL OGÓLNOPOLSKI;C Choroby twarzy, jamy ustnej, gardła, krtani, nosa i uszu;20;157309;10;71123;17;138696;1;1.211788;0.176471;0.1342
;K00-K93 Choroby układu pokarmowego;Warmińsko-mazurskie;SZPITAL OGÓLNOPOLSKI;F Choroby przewodu pokarmowego;113;395739.63;94;499765.84;100;322038.84;0.202128;-0.20815;0.13;0.228857
;K00-K93 Choroby układu pokarmowego;Warmińsko-mazurskie;SZPITAL OGÓLNOPOLSKI;G Choroby wątroby, dróg żółciowych, trzustki i śledziony;48;231542.23;42;192021.45;59;225170;0.142857;0.205814;-0.186441;0.0283
;K00-K93 Choroby układu pokarmowego;Warmińsko-mazurskie;SZPITAL PEDIATRYCZNY;C Choroby twarzy, jamy ustnej, gardła, krtani, nosa i uszu;;;;;< 5;3942;;; ;
;K00-K93 Choroby układu pokarmowego;Warmińsko-mazurskie;SZPITAL PEDIATRYCZNY;F Choroby przewodu pokarmowego;< 5;6578.7336;< 5;18901.9008;< 5;4571; ;-0.651954; ;0.439233
;K00-K93 Choroby układu pokarmowego;Warmińsko-mazurskie;SZPITAL PEDIATRYCZNY;G Choroby wątroby, dróg żółciowych, trzustki i śledziony;< 5;3676.7628;< 5;9377.532;;; ;-0.607918; ;
;K00-K93 Choroby układu pokarmowego;Warmińsko-mazurskie;SZPITAL PEDIATRYCZNY;J Choroby piersi, skóry i oparzenia;;;< 5;7710.0444;;; ;;;
;K00-K93 Choroby układu pokarmowego;Warmińsko-mazurskie;SZPITAL PEDIATRYCZNY;N Położnictwo i opieka nad noworodkami;;;;;< 5;5058;;; ;
;K00-K93 Choroby układu pokarmowego;Warmińsko-mazurskie;SZPITAL PEDIATRYCZNY;P Choroby dzieci - leczenie zachowawcze;29;72735.3864;26;64118.736;19;42526.4;0.115385;0.134386;0.526316;0.710358
;K00-K93 Choroby układu pokarmowego;Warmińsko-mazurskie;SZPITAL PEDIATRYCZNY;PZ Choroby dzieci - leczenie zabiegowe;45;280307.96172;32;198841.989456;35;193550.3;0.40625;0.409702;0.285714;0.448243
;K00-K93 Choroby układu pokarmowego;Warmińsko-mazurskie;SZPITAL PEDIATRYCZNY;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;;;< 5;12283.1208;;; ;;;
;K00-K93 Choroby układu pokarmowego;Wielkopolskie;POZA PSZ;C Choroby twarzy, jamy ustnej, gardła, krtani, nosa i uszu;< 5;2380;< 5;301;5;3222.8; ;6.906977; ;-0.261512
;K00-K93 Choroby układu pokarmowego;Wielkopolskie;POZA PSZ;F Choroby przewodu pokarmowego;93;212020.14;96;211287.51;85;190337.38;-0.03125;0.003467;0.094118;0.113918
;K00-K93 Choroby układu pokarmowego;Wielkopolskie;POZA PSZ;G Choroby wątroby, dróg żółciowych, trzustki i śledziony;28;85048.49;30;89403.13;35;104799.69;-0.066667;-0.048708;-0.2;-0.188466
;K00-K93 Choroby układu pokarmowego;Wielkopolskie;POZA PSZ;PZ Choroby dzieci - leczenie zabiegowe;< 5;4161.96;< 5;5909.88;;; ;-0.295762; ;
;K00-K93 Choroby układu pokarmowego;Wielkopolskie;SZPITAL I STOPNIA;C Choroby twarzy, jamy ustnej, gardła, krtani, nosa i uszu;8;33751.6;11;56040.8;6;17973;-0.272727;-0.397732;0.333333;0.877906
;K00-K93 Choroby układu pokarmowego;Wielkopolskie;SZPITAL I STOPNIA;D Choroby układu oddechowego;;;;;< 5;11670.93;;; ;
;K00-K93 Choroby układu pokarmowego;Wielkopolskie;SZPITAL I STOPNIA;F Choroby przewodu pokarmowego;995;4351173.3346;838;3077148.0592;1027;3667936.4201;0.187351;0.414028;-0.031159;0.186273
;K00-K93 Choroby układu pokarmowego;Wielkopolskie;SZPITAL I STOPNIA;G Choroby wątroby, dróg żółciowych, trzustki i śledziony;678;3339595.3826;611;2982717.478;672;3412702.0127;0.109656;0.119649;0.008929;-0.021422
;K00-K93 Choroby układu pokarmowego;Wielkopolskie;SZPITAL I STOPNIA;J Choroby piersi, skóry i oparzenia;< 5;7203.24;;;< 5;39059.1141; ;; ;-0.815581
;K00-K93 Choroby układu pokarmowego;Wielkopolskie;SZPITAL I STOPNIA;P Choroby dzieci - leczenie zachowawcze;91;215752.8366;80;194631.552;61;150582.63;0.1375;0.108519;0.491803;0.432787
;K00-K93 Choroby układu pokarmowego;Wielkopolskie;SZPITAL I STOPNIA;PZ Choroby dzieci - leczenie zabiegowe;10;39635.568;;;15;63276.917;;;-0.333333;-0.373617
;K00-K93 Choroby układu pokarmowego;Wielkopolskie;SZPITAL I STOPNIA;Q Choroby naczyń;;;< 5;2522.664;;; ;;;
;K00-K93 Choroby układu pokarmowego;Wielkopolskie;SZPITAL I STOPNIA;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;< 5;20497.92;;;;; ;; ;
;K00-K93 Choroby układu pokarmowego;Wielkopolskie;SZPITAL II STOPNIA;C Choroby twarzy, jamy ustnej, gardła, krtani, nosa i uszu;< 5;13383.51;6;6691.25;< 5;2871.3; ;1.000151; ;3.661133
;K00-K93 Choroby układu pokarmowego;Wielkopolskie;SZPITAL II STOPNIA;D Choroby układu oddechowego;< 5;1908.9;;;;; ;; ;
;K00-K93 Choroby układu pokarmowego;Wielkopolskie;SZPITAL II STOPNIA;E Choroby układu krążenia;;;< 5;2443.19;;; ;;;
;K00-K93 Choroby układu pokarmowego;Wielkopolskie;SZPITAL II STOPNIA;F Choroby przewodu pokarmowego;526;2570136.2906;467;2224640.00658;505;2479495.8058;0.126338;0.155304;0.041584;0.036556
;K00-K93 Choroby układu pokarmowego;Wielkopolskie;SZPITAL II STOPNIA;G Choroby wątroby, dróg żółciowych, trzustki i śledziony;354;1616566.7745;312;1518879.0555;349;1993157.7782;0.134615;0.064316;0.014327;-0.188942
;K00-K93 Choroby układu pokarmowego;Wielkopolskie;SZPITAL II STOPNIA;P Choroby dzieci - leczenie zachowawcze;12;26345.682;16;33509.0034;8;19181.1;-0.25;-0.213773;0.5;0.373523
;K00-K93 Choroby układu pokarmowego;Wielkopolskie;SZPITAL II STOPNIA;PZ Choroby dzieci - leczenie zabiegowe;15;60373.944;13;41372.532;14;85100.028;0.153846;0.459276;0.071429;-0.290553
;K00-K93 Choroby układu pokarmowego;Wielkopolskie;SZPITAL II STOPNIA;Q Choroby naczyń;;;< 5;133820.6166;;; ;;;
;K00-K93 Choroby układu pokarmowego;Wielkopolskie;SZPITAL III STOPNIA;C Choroby twarzy, jamy ustnej, gardła, krtani, nosa i uszu;43;76405.9752;46;56612.1152;30;31344;-0.065217;0.34964;0.433333;1.437659
;K00-K93 Choroby układu pokarmowego;Wielkopolskie;SZPITAL III STOPNIA;F Choroby przewodu pokarmowego;319;904265.004;323;1016396.1252;263;876844.69;-0.012384;-0.110322;0.212928;0.031272
;K00-K93 Choroby układu pokarmowego;Wielkopolskie;SZPITAL III STOPNIA;G Choroby wątroby, dróg żółciowych, trzustki i śledziony;180;762990.5836;224;945168.5836;177;763252.39;-0.196429;-0.192747;0.016949;-0.000343
;K00-K93 Choroby układu pokarmowego;Wielkopolskie;SZPITAL III STOPNIA;P Choroby dzieci - leczenie zachowawcze;38;115272.6012;32;92795.6736;34;88818;0.1875;0.24222;0.117647;0.297852
;K00-K93 Choroby układu pokarmowego;Wielkopolskie;SZPITAL III STOPNIA;PZ Choroby dzieci - leczenie zabiegowe;20;76267.43784;26;122806.35828;28;113080.1;-0.230769;-0.378962;-0.285714;-0.325545
;K00-K93 Choroby układu pokarmowego;Wielkopolskie;SZPITAL OGÓLNOPOLSKI;A Choroby układu nerwowego;< 5;15051;;;;; ;; ;
;K00-K93 Choroby układu pokarmowego;Wielkopolskie;SZPITAL OGÓLNOPOLSKI;C Choroby twarzy, jamy ustnej, gardła, krtani, nosa i uszu;18;36503.336;38;185912.2552;19;67868.93;-0.526316;-0.803653;-0.052632;-0.46215
;K00-K93 Choroby układu pokarmowego;Wielkopolskie;SZPITAL OGÓLNOPOLSKI;F Choroby przewodu pokarmowego;186;939683.1069;182;1042761.252828;223;1007904.44;0.021978;-0.098851;-0.165919;-0.067686
;K00-K93 Choroby układu pokarmowego;Wielkopolskie;SZPITAL OGÓLNOPOLSKI;G Choroby wątroby, dróg żółciowych, trzustki i śledziony;70;438847.1462;63;322128.1512;83;346368.02;0.111111;0.362337;-0.156627;0.266997
;K00-K93 Choroby układu pokarmowego;Wielkopolskie;SZPITAL OGÓLNOPOLSKI;P Choroby dzieci - leczenie zachowawcze;45;142815.3472;36;124026.0796;31;103350;0.25;0.151494;0.451613;0.381861
;K00-K93 Choroby układu pokarmowego;Wielkopolskie;SZPITAL OGÓLNOPOLSKI;PZ Choroby dzieci - leczenie zabiegowe;49;156607.29432;56;185893.1546;48;177142.18;-0.125;-0.157541;0.020833;-0.115923
;K00-K93 Choroby układu pokarmowego;Wielkopolskie;SZPITAL OGÓLNOPOLSKI;Q Choroby naczyń;;;< 5;10696.4;;; ;;;
;K00-K93 Choroby układu pokarmowego;Wielkopolskie;SZPITAL OGÓLNOPOLSKI;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;;;< 5;29958;;; ;;;
;K00-K93 Choroby układu pokarmowego;Wielkopolskie;SZPITAL ONKOLOGICZNY;F Choroby przewodu pokarmowego;90;238635;79;201250.63;48;171318;0.139241;0.18576;0.875;0.392936
;K00-K93 Choroby układu pokarmowego;Wielkopolskie;SZPITAL ONKOLOGICZNY;G Choroby wątroby, dróg żółciowych, trzustki i śledziony;5;15679;5;15005;< 5;10864;0;0.044918; ;0.443207
;K00-K93 Choroby układu pokarmowego;Wielkopolskie;SZPITAL PEDIATRYCZNY;C Choroby twarzy, jamy ustnej, gardła, krtani, nosa i uszu;< 5;3692.84;< 5;702;< 5;4002; ;4.260456; ;-0.077251
;K00-K93 Choroby układu pokarmowego;Wielkopolskie;SZPITAL PEDIATRYCZNY;F Choroby przewodu pokarmowego;7;18966.07;8;24292.44;7;16147.02;-0.125;-0.21926;0;0.174586
;K00-K93 Choroby układu pokarmowego;Wielkopolskie;SZPITAL PEDIATRYCZNY;G Choroby wątroby, dróg żółciowych, trzustki i śledziony;< 5;2869.56;< 5;7702.12;< 5;3247; ;-0.627432; ;-0.116243
;K00-K93 Choroby układu pokarmowego;Wielkopolskie;SZPITAL PEDIATRYCZNY;P Choroby dzieci - leczenie zachowawcze;44;121264;44;121702.48;57;148029;0;-0.003603;-0.22807;-0.180809
;K00-K93 Choroby układu pokarmowego;Wielkopolskie;SZPITAL PEDIATRYCZNY;PZ Choroby dzieci - leczenie zabiegowe;21;107919.536;34;156342.312;35;212694.6;-0.382353;-0.309723;-0.4;-0.492608
;K00-K93 Choroby układu pokarmowego;Wielkopolskie;SZPITAL PULMONOLOGICZNY;D Choroby układu oddechowego;< 5;20343.16;;;;; ;; ;
;K00-K93 Choroby układu pokarmowego;Wielkopolskie;SZPITAL PULMONOLOGICZNY;F Choroby przewodu pokarmowego;< 5;12990;;;< 5;3070; ;; ;3.23127
;K00-K93 Choroby układu pokarmowego;Zachodniopomorskie;SZPITAL I STOPNIA;C Choroby twarzy, jamy ustnej, gardła, krtani, nosa i uszu;;;;;< 5;325;;; ;
;K00-K93 Choroby układu pokarmowego;Zachodniopomorskie;SZPITAL I STOPNIA;F Choroby przewodu pokarmowego;317;1195809.2634;276;1048479.9226;330;1608506.9611;0.148551;0.140517;-0.039394;-0.256572
;K00-K93 Choroby układu pokarmowego;Zachodniopomorskie;SZPITAL I STOPNIA;G Choroby wątroby, dróg żółciowych, trzustki i śledziony;235;1070820.684;187;819984.1374;231;1351804.7358;0.256684;0.305904;0.017316;-0.207858
;K00-K93 Choroby układu pokarmowego;Zachodniopomorskie;SZPITAL I STOPNIA;P Choroby dzieci - leczenie zachowawcze;38;91716.84;30;69488.28;30;65732.8;0.266667;0.319889;0.266667;0.395298
;K00-K93 Choroby układu pokarmowego;Zachodniopomorskie;SZPITAL II STOPNIA;F Choroby przewodu pokarmowego;78;546515.3918;65;347984.097;98;649604.8806;0.2;0.570518;-0.204082;-0.158696
;K00-K93 Choroby układu pokarmowego;Zachodniopomorskie;SZPITAL II STOPNIA;G Choroby wątroby, dróg żółciowych, trzustki i śledziony;62;318058.8029;45;425592.3439;54;290213.256;0.377778;-0.252668;0.148148;0.095949
;K00-K93 Choroby układu pokarmowego;Zachodniopomorskie;SZPITAL II STOPNIA;P Choroby dzieci - leczenie zachowawcze;8;22914.4356;7;16289.5712;< 5;7952.94;0.142857;0.406694; ;1.881253
;K00-K93 Choroby układu pokarmowego;Zachodniopomorskie;SZPITAL III STOPNIA;C Choroby twarzy, jamy ustnej, gardła, krtani, nosa i uszu;8;12704.3872;20;52833.7;17;32930;-0.6;-0.75954;-0.529412;-0.6142
;K00-K93 Choroby układu pokarmowego;Zachodniopomorskie;SZPITAL III STOPNIA;D Choroby układu oddechowego;< 5;7676;< 5;40023.06;;; ;-0.808211; ;
;K00-K93 Choroby układu pokarmowego;Zachodniopomorskie;SZPITAL III STOPNIA;F Choroby przewodu pokarmowego;127;442999.6075;106;408631.1;97;655378.33;0.198113;0.084106;0.309278;-0.324055
;K00-K93 Choroby układu pokarmowego;Zachodniopomorskie;SZPITAL III STOPNIA;G Choroby wątroby, dróg żółciowych, trzustki i śledziony;135;1060898.14;104;556585.21;88;454834.15;0.298077;0.906084;0.534091;1.332494
;K00-K93 Choroby układu pokarmowego;Zachodniopomorskie;SZPITAL III STOPNIA;P Choroby dzieci - leczenie zachowawcze;< 5;10451.5974;< 5;8898.1092;< 5;7676; ;0.174586; ;0.361594
;K00-K93 Choroby układu pokarmowego;Zachodniopomorskie;SZPITAL III STOPNIA;PZ Choroby dzieci - leczenie zabiegowe;< 5;14519.17872;8;30853.90602;;; ;-0.529422; ;
;K00-K93 Choroby układu pokarmowego;Zachodniopomorskie;SZPITAL III STOPNIA;Q Choroby naczyń;< 5;14849;;;< 5;9724; ;; ;0.527046
;K00-K93 Choroby układu pokarmowego;Zachodniopomorskie;SZPITAL OGÓLNOPOLSKI;C Choroby twarzy, jamy ustnej, gardła, krtani, nosa i uszu;29;312936.4768;36;410103.359784;30;293293.59;-0.194444;-0.236933;-0.033333;0.066973
;K00-K93 Choroby układu pokarmowego;Zachodniopomorskie;SZPITAL OGÓLNOPOLSKI;D Choroby układu oddechowego;;;;;< 5;7676;;; ;
;K00-K93 Choroby układu pokarmowego;Zachodniopomorskie;SZPITAL OGÓLNOPOLSKI;F Choroby przewodu pokarmowego;341;1387035.43128;270;1251266.84704;284;1155322.1;0.262963;0.108505;0.200704;0.200562
;K00-K93 Choroby układu pokarmowego;Zachodniopomorskie;SZPITAL OGÓLNOPOLSKI;G Choroby wątroby, dróg żółciowych, trzustki i śledziony;211;817197.92;235;980828.2516;265;1295604.18;-0.102128;-0.166829;-0.203774;-0.369253
;K00-K93 Choroby układu pokarmowego;Zachodniopomorskie;SZPITAL OGÓLNOPOLSKI;J Choroby piersi, skóry i oparzenia;< 5;3838;< 5;3838;< 5;3838; ;0; ;0
;K00-K93 Choroby układu pokarmowego;Zachodniopomorskie;SZPITAL OGÓLNOPOLSKI;P Choroby dzieci - leczenie zachowawcze;55;143348.4648;51;140082.588;31;76738;0.078431;0.023314;0.774194;0.868025
;K00-K93 Choroby układu pokarmowego;Zachodniopomorskie;SZPITAL OGÓLNOPOLSKI;PZ Choroby dzieci - leczenie zabiegowe;17;88840.95552;23;125239.47192;24;148895.8;-0.26087;-0.290631;-0.291667;-0.403335
;K00-K93 Choroby układu pokarmowego;Zachodniopomorskie;SZPITAL OGÓLNOPOLSKI;Q Choroby naczyń;< 5;46072.99;< 5;1912.9;;; ;23.085415; ;
;K00-K93 Choroby układu pokarmowego;Zachodniopomorskie;SZPITAL ONKOLOGICZNY;F Choroby przewodu pokarmowego;< 5;7062;;;< 5;7094; ;; ;-0.004511
;K00-K93 Choroby układu pokarmowego;Zachodniopomorskie;SZPITAL PEDIATRYCZNY;F Choroby przewodu pokarmowego;14;30590.234;11;24832.9352;< 5;14404;0.272727;0.231841; ;1.123732
;K00-K93 Choroby układu pokarmowego;Zachodniopomorskie;SZPITAL PEDIATRYCZNY;G Choroby wątroby, dróg żółciowych, trzustki i śledziony;8;24969.3288;6;18641.3792;12;48287;0.333333;0.339457;-0.333333;-0.482897
;K00-K93 Choroby układu pokarmowego;Zachodniopomorskie;SZPITAL PEDIATRYCZNY;L Choroby układu moczowo-płciowego;< 5;1830;;;;; ;; ;
;K00-K93 Choroby układu pokarmowego;Zachodniopomorskie;SZPITAL PEDIATRYCZNY;P Choroby dzieci - leczenie zachowawcze;104;353664.9492;72;271480.632;79;246617;0.444444;0.302726;0.316456;0.434066
;K00-K93 Choroby układu pokarmowego;Zachodniopomorskie;SZPITAL PEDIATRYCZNY;PZ Choroby dzieci - leczenie zabiegowe;18;96922.16946;16;78167.36034;18;75946.8;0.125;0.239931;0;0.276185
;L00-L99 Choroby skóry i tkanki podskórnej;Dolnośląskie;POZA PSZ;C Choroby twarzy, jamy ustnej, gardła, krtani, nosa i uszu;;;< 5;3261.35;;; ;;;
;L00-L99 Choroby skóry i tkanki podskórnej;Dolnośląskie;POZA PSZ;H Choroby układu mięśniowo-szkieletowego;5;20075;5;20075;< 5;8030;0;0; ;1.5
;L00-L99 Choroby skóry i tkanki podskórnej;Dolnośląskie;SZPITAL I STOPNIA;F Choroby przewodu pokarmowego;10;15988.908;5;8627.16;9;15495.732;1;0.853322;0.111111;0.031827
;L00-L99 Choroby skóry i tkanki podskórnej;Dolnośląskie;SZPITAL I STOPNIA;H Choroby układu mięśniowo-szkieletowego;57;180161.928;45;137982.348;41;144316.584;0.266667;0.305688;0.390244;0.24838
;L00-L99 Choroby skóry i tkanki podskórnej;Dolnośląskie;SZPITAL I STOPNIA;J Choroby piersi, skóry i oparzenia;44;154606.602;43;150789.836;36;128232.8;0.023256;0.025312;0.222222;0.205671
;L00-L99 Choroby skóry i tkanki podskórnej;Dolnośląskie;SZPITAL I STOPNIA;L Choroby układu moczowo-płciowego;;;< 5;3537.36;;; ;;;
;L00-L99 Choroby skóry i tkanki podskórnej;Dolnośląskie;SZPITAL I STOPNIA;P Choroby dzieci - leczenie zachowawcze;20;57311.4744;12;36463.986;13;26465.99;0.666667;0.571728;0.538462;1.165476
;L00-L99 Choroby skóry i tkanki podskórnej;Dolnośląskie;SZPITAL I STOPNIA;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;< 5;3275.64;;;;; ;; ;
;L00-L99 Choroby skóry i tkanki podskórnej;Dolnośląskie;SZPITAL II STOPNIA;F Choroby przewodu pokarmowego;< 5;6753.264;< 5;3477.632;< 5;3410.064; ;0.941914; ;0.980392
;L00-L99 Choroby skóry i tkanki podskórnej;Dolnośląskie;SZPITAL II STOPNIA;H Choroby układu mięśniowo-szkieletowego;18;59247.408;20;54856.938;17;57663.456;-0.1;0.080035;0.058824;0.027469
;L00-L99 Choroby skóry i tkanki podskórnej;Dolnośląskie;SZPITAL II STOPNIA;J Choroby piersi, skóry i oparzenia;35;131264.246;14;65623.336;17;66597.024;1.5;1.000268;1.058824;0.971023
;L00-L99 Choroby skóry i tkanki podskórnej;Dolnośląskie;SZPITAL II STOPNIA;L Choroby układu moczowo-płciowego;;;;;< 5;1866.6;;; ;
;L00-L99 Choroby skóry i tkanki podskórnej;Dolnośląskie;SZPITAL II STOPNIA;P Choroby dzieci - leczenie zachowawcze;10;24845.94;14;32771.844;11;24080.16;-0.285714;-0.241851;-0.090909;0.031801
;L00-L99 Choroby skóry i tkanki podskórnej;Dolnośląskie;SZPITAL II STOPNIA;PZ Choroby dzieci - leczenie zabiegowe;< 5;4528.23696;;;;; ;; ;
;L00-L99 Choroby skóry i tkanki podskórnej;Dolnośląskie;SZPITAL II STOPNIA;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;< 5;3341.1528;< 5;6616.2096;;; ;-0.495005; ;
;L00-L99 Choroby skóry i tkanki podskórnej;Dolnośląskie;SZPITAL III STOPNIA;C Choroby twarzy, jamy ustnej, gardła, krtani, nosa i uszu;;;< 5;16898;;; ;;;
;L00-L99 Choroby skóry i tkanki podskórnej;Dolnośląskie;SZPITAL III STOPNIA;F Choroby przewodu pokarmowego;6;7999;5;6965;< 5;1393;0.2;0.148457; ;4.742283
;L00-L99 Choroby skóry i tkanki podskórnej;Dolnośląskie;SZPITAL III STOPNIA;H Choroby układu mięśniowo-szkieletowego;26;114256.76;19;122717.06;17;61900;0.368421;-0.068942;0.529412;0.845828
;L00-L99 Choroby skóry i tkanki podskórnej;Dolnośląskie;SZPITAL III STOPNIA;J Choroby piersi, skóry i oparzenia;112;305731.9466;97;350096.0546;106;305040;0.154639;-0.12672;0.056604;0.002268
;L00-L99 Choroby skóry i tkanki podskórnej;Dolnośląskie;SZPITAL III STOPNIA;K Choroby układu dokrewnego;;;< 5;34779.6;;; ;;;
;L00-L99 Choroby skóry i tkanki podskórnej;Dolnośląskie;SZPITAL III STOPNIA;L Choroby układu moczowo-płciowego;;;< 5;705;;; ;;;
;L00-L99 Choroby skóry i tkanki podskórnej;Dolnośląskie;SZPITAL III STOPNIA;P Choroby dzieci - leczenie zachowawcze;14;33704.9856;15;39369.9366;14;34149;-0.066667;-0.14389;0;-0.013002
;L00-L99 Choroby skóry i tkanki podskórnej;Dolnośląskie;SZPITAL III STOPNIA;PZ Choroby dzieci - leczenie zabiegowe;11;23926.14288;18;40102.3656;10;20897.6;-0.388889;-0.403373;0.1;0.144923
;L00-L99 Choroby skóry i tkanki podskórnej;Dolnośląskie;SZPITAL III STOPNIA;Q Choroby naczyń;< 5;7027;;;;; ;; ;
;L00-L99 Choroby skóry i tkanki podskórnej;Dolnośląskie;SZPITAL III STOPNIA;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;< 5;6842.88;;;;; ;; ;
;L00-L99 Choroby skóry i tkanki podskórnej;Dolnośląskie;SZPITAL OGÓLNOPOLSKI;C Choroby twarzy, jamy ustnej, gardła, krtani, nosa i uszu;< 5;3061.8;;;< 5;2144; ;; ;0.428078
;L00-L99 Choroby skóry i tkanki podskórnej;Dolnośląskie;SZPITAL OGÓLNOPOLSKI;F Choroby przewodu pokarmowego;< 5;4179;< 5;2786;13;17837; ;0.5; ;-0.765712
